position,avg_loss,perplexity,std_loss,count
0,0.6680543060037891,1.9504386695187306,0.8075235371713354,57515
1,0.21902470969672228,1.2448620364708793,0.6570949541596002,57306
2,0.09830022021345486,1.1032939665424786,0.6852035338205674,57306
3,1.1561277502265608,3.1776049423089296,0.9403611740702921,57042
4,0.6809808575755552,1.9758147749835553,0.915312291593314,57042
5,0.7280366171278031,2.0710104269196794,0.7985384727536952,57042
6,0.590134856564298,1.8042317114822592,0.7589019686297743,57042
7,0.6058898995246792,1.8328825646748566,0.8184216708542481,57042
8,0.5326528478135315,1.7034453009730377,0.6140266365630029,57042
9,0.40188660616831695,1.4946418399012864,0.7500633732664412,57042
10,0.528055494405498,1.69563193507709,0.4279400622817926,57042
11,0.0262075972206659,1.0265540361192371,0.33676394843055,57042
12,0.8206356453481087,2.271943528981282,1.4783195638370645,10755
13,0.0675685462190378,1.0699035949306108,0.4031500582660595,8908
14,0.038942910589149615,1.0397111254602047,0.35073921494666893,8886
15,0.45826580874956635,1.5813292783606532,0.7122557664920013,8828
16,0.42957229320383367,1.5366001686456026,0.7243558189088265,8822
17,0.40614945557555354,1.5010268725298148,0.6915267645089634,8822
18,0.6506778015928693,1.916839625752533,1.3177283384713663,778
19,0.6093812666617888,1.8392930147329194,1.1638428142695687,484
20,0.8565046212755911,2.3549149714510174,1.328026825161498,143
21,0.2878794006095362,1.3335964635043158,0.9962087219585467,108
22,0.3055270945427418,1.3573402611296226,0.8777972007141793,105
23,0.803706708944228,2.233805668988703,0.702912356870006,100
24,0.7616509119793773,2.1418092418756727,0.9862137937927024,100
25,0.8481256090084551,2.335265546365933,0.8781992267408314,93
26,0.48372885599282794,1.6221117601360715,0.5952840013731682,58
27,0.3869480387307703,1.4724799773567336,0.38260613983818204,40
28,1.7266407462839897,5.621737311438896,3.468337711273899,13
29,0.7397694559767842,2.095452364784231,2.0529947157423294,10
30,0.6688975285738706,1.9520840170260152,1.8887108413368954,10
31,0.904891230724752,2.471663067435619,2.5913117951080094,10
32,0.36333877556025984,1.4381229776421194,0.9813414875586801,10
33,1.103682704269886,3.015249875737542,3.1676793967773875,10
34,1.470734329894185,4.352430087372386,2.9952724748188535,10
35,0.5425554353743791,1.7203976145757607,1.5250934026861964,10
36,1.3034692849963903,3.6820486107679096,2.719317462128584,10
37,1.5129228040575982,4.539980895739906,3.0965251956628546,10
38,1.2926591020077467,3.6424593605647173,2.612139635509321,10
39,0.8915750582702457,2.4389681445179643,1.727629986223868,10
40,1.5759280502796174,4.835226870167517,3.0586730856706725,10
41,1.0783044187352062,2.939690838167189,2.1164001523698617,10
42,1.1085371341556312,3.0299227803260806,2.1640183936393775,10
43,0.9778958956710995,2.6588558419956794,1.9031584355539788,10
44,1.1877005588263274,3.2795314409621077,2.4128707154722226,10
45,0.9395382680930198,2.558799666074509,1.9471173494429443,10
46,0.8213636073283851,2.2735980196217933,1.6075654640196708,10
47,0.5773747845552861,1.7813558441653976,1.0963079787326404,10
48,0.5610430249013006,1.7524994479182356,1.0637043518856677,10
49,0.727082512807101,2.069035409259402,1.624313429323337,10
50,0.46990405302494764,1.599840685978815,0.9229811831267135,10
51,1.7601927709765732,5.813557971639292,2.8324684299078187,10
52,0.5177570292726159,1.6782591388276682,0.966552157024953,10
53,0.34090801449492575,1.4062238826986249,0.9227877173150498,10
54,0.334680060762912,1.3974932007818635,0.8987867242740495,10
55,0.3679189499467611,1.4447249391952341,0.9879816716427687,10
56,0.25261737452819943,1.2873905941506905,0.6188298980482916,10
57,0.28619384979829193,1.3313505122675924,0.6554675642083154,10
58,0.4495110326446593,1.5675455194810817,0.9747627268538367,10
59,1.824788438808173,6.201482887200953,3.17391993364358,10
60,0.7538794618099928,2.125228788611832,1.4217174813305227,10
61,0.9574348018504679,2.6050055399164744,1.8591380467216685,10
62,0.5095560470595956,1.6645520481086065,0.9975279455512612,10
63,1.503517602570355,4.49748163102331,3.025475989360632,10
64,0.06923372391611338,1.0716866586818967,0.09268777136387532,10
65,0.06339453030377626,1.0654471074925482,0.09172530042724142,10
66,0.066850645840168,1.0691357863724595,0.09441975699281314,10
67,0.8979968870989978,2.454681179671629,2.4549201979257993,10
68,1.1108566919341682,3.0369590186053848,3.0110095638036065,10
69,0.6679136861115694,1.95016441832628,1.5766954432613876,10
70,0.23152162693440914,1.2605165873923836,0.4833397262600181,10
71,0.4689799052663147,1.598362879755529,0.927302863433467,10
72,0.4817769058669607,1.6189485670835841,1.2842352063514322,9
73,0.06672637061112457,1.0690029275334318,0.1109241413537793,9
74,0.9880546410050657,2.6860041442433946,2.62058758052995,9
75,1.4302869972048535,4.179898639022001,2.8247848466481127,9
76,0.7854156415495608,2.1933183855553775,1.9951096044736774,9
77,1.0383491746874318,2.8245503242943704,2.71038908088598,9
78,0.37372730765491724,1.4531408360410392,0.9286471185266468,9
79,1.070587708718247,2.9170933975130615,2.6980592913335215,9
80,0.08568185205674833,1.0894596638114575,0.12227801441473247,9
81,0.1984842667977015,1.2195528397917679,0.4856103556085164,9
82,0.07145976088941097,1.074074930011849,0.1266594838530244,9
83,0.026915004127658904,1.0272804844517789,0.012742947740413279,8
84,0.02694634988438338,1.0273126858406183,0.01276438756837716,8
85,0.02698038355447352,1.0273476496566176,0.012786438028678326,8
86,0.02701313712168485,1.0273812995079834,0.01280750506882955,8
87,0.027042101719416678,1.0274110576250046,0.012826507677677271,8
88,0.02707204013131559,1.0274418171408806,0.012845190350655488,8
89,0.02710162359289825,1.0274722128760096,0.012863342841502123,8
90,1.687063593766652,5.403590250040767,2.9468611335595742,8
91,0.5708249997114763,1.76972647316946,1.4235547701725566,8
92,0.04551508650183678,1.0465667935267016,0.0539982640865838,8
93,0.02665974257979542,1.0270182927103864,0.012538890889333201,8
94,0.02670959138777107,1.027069489624089,0.012566692401028359,8
95,0.6842209789901972,1.9822270373918518,1.7422427833984102,8
96,0.03242654842324555,1.0329580179622904,0.02151063296194706,8
97,0.026774225290864706,1.027135875279311,0.012600610875487807,8
98,1.1803087658481672,3.255379197646725,3.0545151345424113,8
